time_iso8601,forks_cumulative
2025-04-14 00:00:00+00:00,1
2025-04-15 00:00:00+00:00,2
2025-04-17 00:00:00+00:00,3
2025-04-21 00:00:00+00:00,5
2025-05-25 00:00:00+00:00,6
2025-06-01 00:00:00+00:00,7
2025-06-02 00:00:00+00:00,8
2025-06-09 00:00:00+00:00,9
2025-06-21 00:00:00+00:00,10
2025-08-16 00:00:00+00:00,11
2025-08-26 00:00:00+00:00,12
2025-08-27 00:00:00+00:00,13
2025-10-27 00:00:00+00:00,14
2026-01-11 00:00:00+00:00,15
2026-01-16 00:00:00+00:00,16
2026-05-15 00:00:00+00:00,17
2026-08-03 00:00:00+00:00,18
