time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,9,7,8,3
2025-10-29 00:00:00+00:00,4,4,18,4
2025-10-30 00:00:00+00:00,2,2,13,3
2025-10-31 00:00:00+00:00,10,5,4,3
2025-11-01 00:00:00+00:00,2,2,26,5
2025-11-02 00:00:00+00:00,14,8,22,4
2025-11-03 00:00:00+00:00,25,11,15,4
2025-11-04 00:00:00+00:00,13,7,13,2
2025-11-05 00:00:00+00:00,5,5,23,5
2025-11-06 00:00:00+00:00,3,3,26,6
2025-11-07 00:00:00+00:00,11,7,8,3
2025-11-08 00:00:00+00:00,2,2,6,3
2025-11-09 00:00:00+00:00,5,4,10,5
2025-11-10 00:00:00+00:00,19,13,19,6
